"ECO","BDH","MKP","MHP","MPE","PAR","SPI","TBN","TKP","PAE","PHL","RLI","SHI","BER","ECS","FCL","TCG","FLI","FSH","FSS","FCD","BTZ","BTO","RMS","APO","OEB","OEC","NXA","SDA","AGR","SNM","PSU","PRS","RCY","WRS","WWG","WWC","WWT","WWR","HLT","AIR","HPE","HFD","OZD","NOD","SOE","COE","VOE","H2O","USD","UWD","HMT","LED","WMG","WPC","SMW","WRR","PCC","CCH","CDA","CDF","CHA","FGA","NDA","BCA","LUF","GTI","GTP","GHN","CBP"
21.5,25.2,1.9,12.5,50,0.3,0.6,0.3,0.6,79.5,80.9,75.8,67.5,35.4,68.3,65.2,39.9,45.9,87.6,64.1,71.3,81.9,82.7,45.2,5.2,19.4,39.9,0,0,45,35.3,100,60.6,40.2,11.2,89.7,0,0,0,17.6,16.9,22.8,1.7,7.5,32.6,63.5,51,36.5,25.5,22.8,24.4,0,0,25.2,60.6,0,2.4,13.7,13.7,0,0,4.2,36.8,9.3,1.2,42.2,0.7,8.1,17.9,97.7
50.9,50.6,21.2,24.4,100,46.4,54.4,55.5,55.9,65.2,63.4,70.5,77.2,28.2,58.4,65,36.5,67.5,13.7,55.5,24.2,9,5.6,100,80.3,25.8,23.3,100,100,48.4,20.3,35.7,67,68.6,23.5,64.8,19,10.9,33.4,39.9,31.7,32.8,21.1,43.6,35.4,39,59.6,48.9,67.2,67.4,65.1,52.9,53.7,16.4,35.6,0,5.3,44.1,44.1,37.8,47.5,82.4,36.8,72.3,65.5,49.7,43.3,44,32.7,87.6
39.3,33.1,0,0,50,6.1,73.2,4.2,5.9,20.3,58.8,74.3,76.3,54.1,64.5,70.7,53.3,68.2,53.1,85.6,40.8,44.8,45.3,20.8,49.7,25.8,12,7.1,100,42.9,35,100,76.7,39.8,53.1,62.7,65,41.7,41.7,48.1,47.3,46.8,55.7,30.5,30.9,36.5,54,33.2,61,62.8,57.7,29.9,28.6,34.3,44.6,61.6,10.3,29.3,29.3,34.8,21.3,48,34.3,9.4,3.8,49.3,29.8,32.1,7.7,51.5
36.6,42.3,0,0,100,35.6,37.1,34.1,74.7,82.1,89.8,77.8,82.7,58.1,50.8,58.1,27.9,83.5,38.8,21,48.1,27.2,38.5,59.3,13.5,69.5,87.5,0,0,39.3,33,81.6,97,24,15.8,86.5,7.6,4.3,4.3,19.8,18.7,14.4,9.8,24.4,34.8,63.7,37.5,4.3,16.9,12.5,12.3,33.1,31.1,26.1,64.1,0,1.1,35.2,35.2,26.4,78.8,55.5,36.8,49.2,5.8,47.9,38.3,42.5,15.3,88.5
52.4,52.2,74.7,33.1,50,56.8,19.6,51.5,72.9,28.3,90,67.3,76.3,83.7,35.4,70.6,30.2,46.1,97.6,81.5,58.7,100,100,51.3,64.6,40,44.4,39.5,76.3,30.2,5.2,40.2,29.4,54.1,48.3,56.5,50.8,44.4,44.4,65.6,72.6,93.9,58,100,41.1,63,82.6,87.3,54.6,53.4,55.5,49.4,49.7,35.6,39,100,0,47.1,47.1,42.1,22.8,67.9,30.6,52.1,57.2,50.3,39.1,36.8,51.5,54
41.2,31.7,13.4,9.5,77.9,14.9,30.9,26.2,39.8,37.6,71.6,54.4,64.3,25.6,35.6,21.4,0,72.2,52,77.5,53.4,12.8,15.8,49.9,57,80.1,94.4,36.7,62,84.1,82.6,100,37.3,80.8,46.8,32.8,55,55,11.8,52.9,48.7,47.9,49.8,49,12.1,65.6,66.4,14.2,64.6,63.3,61.4,71.9,70.6,26.6,32.5,56.1,6,47.1,47.1,41.8,30.7,87.6,42.6,58.4,41.7,45.1,44.9,39.9,7.4,53
47.1,48.6,46.4,20,50,14.4,38.7,77.2,39.5,49.8,71.5,49.9,89.8,47.5,80.3,88.8,58.2,54.2,92.5,36.8,75,79.5,85.7,64.6,38.7,40.9,45.3,41.2,50.8,56.6,29.7,100,66.3,59.9,30.3,0,38,38,14.6,39.5,29,22.9,29.9,27.2,29.6,35.6,58.4,47.1,72.2,62.4,69.8,54.6,51.9,23.5,54.3,0,4.5,39.3,39.3,37.3,38.9,60.3,36.7,6.7,36,43.3,35.1,36,31.8,69.2
59.9,50.5,36.5,30.1,71.1,50.9,53.5,54.7,47.3,89.1,92.2,48,81,29.3,60.2,64.7,44.9,72.2,48.5,29.4,45.4,46.3,49,77.6,87.4,79,86.2,91.2,79.7,53.8,52.9,53.4,57.5,58.9,87,26.2,100,92.4,92.9,81.1,78.8,90,82.1,85.5,19.2,33.3,77.5,16.8,94.9,92,91.8,84.3,82.1,45.4,25.2,90.2,43.1,39.1,39.1,47.8,20.1,44.6,39.8,39.7,41.7,47.7,38,20.4,2.7,43.5
77.9,74.6,61.1,45.8,44.7,86.4,78.9,85.9,70.5,76.7,57.9,62.6,71.6,47.3,58.9,66.7,38.7,35.6,46.7,22.5,32.9,39.5,37.1,56.3,93.1,56.3,65.5,100,100,68.9,64.6,41,75.3,71.5,85.7,0,100,95.2,100,66.2,56.3,30.8,84.7,41.6,20.6,54.2,51.7,50.8,91.9,83.6,91.8,85.4,83.6,67.2,23.8,97.9,95.2,57.3,57.3,62.1,50.8,72.7,47.1,55.2,100,51.5,57.4,47.6,23.2,61.5
45.1,36.1,0.8,20,50,7.2,42.1,31.3,38,55.2,31,80.8,83.9,11.9,79.5,92.1,50.7,65.4,92.5,82.3,82.2,37.2,42.1,49,77.1,45,56.4,70.5,100,62.7,45.8,100,80.7,55.3,24.3,43,18.9,18.9,38.1,39.1,37.1,36.3,28.1,41.2,36.3,35.5,60.9,40.3,45.6,41.1,45.7,43.3,41.5,31.2,47.7,22.7,18.9,36.1,36.1,52.8,50.5,0,23,24,28.3,48.4,36.9,36.6,18.9,48.4
