"sdr_method","cov_method","lambda","d_rmse","d_cvbic","d_cvcaic","d_cvcicomp"
"SIR","RIDGE",0.25,20,20,20,20
"SIR","RIDGE",0.5,20,15,15,15
"SIR","RIDGE",1,20,15,8,8
"SIR","RIDGE",2,20,8,8,8
"SIR","RIDGE",5,20,8,2,2
"DR","RIDGE",0.25,20,20,20,20
"DR","RIDGE",0.5,20,20,20,20
"DR","RIDGE",1,20,20,20,20
"DR","RIDGE",2,20,20,19,19
"DR","RIDGE",5,20,19,19,19
"SIR","OAS",0.25,20,20,20,20
"SIR","OAS",0.5,20,17,17,17
"SIR","OAS",1,20,6,4,4
"SIR","OAS",2,20,6,4,4
"SIR","OAS",5,20,2,2,2
"DR","OAS",0.25,20,20,20,20
"DR","OAS",0.5,20,20,20,20
"DR","OAS",1,20,20,20,20
"DR","OAS",2,20,20,20,20
"DR","OAS",5,20,20,15,15
