"sdr_method","cov_method","selected_d","frequency","proportion"
"DR","LW",16,1,0.1
"DR","LW",19,1,0.1
"DR","LW",20,8,0.8
"DR","MEC",18,1,0.1
"DR","MEC",19,3,0.3
"DR","MEC",20,6,0.6
"DR","OAS",16,1,0.1
"DR","OAS",18,1,0.1
"DR","OAS",20,8,0.8
"DR","RIDGE",16,2,0.2
"DR","RIDGE",18,1,0.1
"DR","RIDGE",20,7,0.7
"DR","SAMPLE",18,1,0.1
"DR","SAMPLE",20,9,0.9
"PHD","LW",19,2,0.2
"PHD","LW",20,8,0.8
"PHD","MEC",13,1,0.1
"PHD","MEC",16,1,0.1
"PHD","MEC",18,1,0.1
"PHD","MEC",19,1,0.1
"PHD","MEC",20,6,0.6
"PHD","OAS",18,1,0.1
"PHD","OAS",19,1,0.1
"PHD","OAS",20,8,0.8
"PHD","RIDGE",17,1,0.1
"PHD","RIDGE",19,1,0.1
"PHD","RIDGE",20,8,0.8
"PHD","SAMPLE",17,1,0.1
"PHD","SAMPLE",18,2,0.2
"PHD","SAMPLE",19,2,0.2
"PHD","SAMPLE",20,5,0.5
"SAVE","LW",1,1,0.1
"SAVE","LW",12,1,0.1
"SAVE","LW",13,1,0.1
"SAVE","LW",14,1,0.1
"SAVE","LW",16,1,0.1
"SAVE","LW",18,2,0.2
"SAVE","LW",20,3,0.3
"SAVE","MEC",2,1,0.1
"SAVE","MEC",3,1,0.1
"SAVE","MEC",4,1,0.1
"SAVE","MEC",5,1,0.1
"SAVE","MEC",6,1,0.1
"SAVE","MEC",11,1,0.1
"SAVE","MEC",14,1,0.1
"SAVE","MEC",15,1,0.1
"SAVE","MEC",18,1,0.1
"SAVE","MEC",20,1,0.1
"SAVE","OAS",1,1,0.1
"SAVE","OAS",6,1,0.1
"SAVE","OAS",12,1,0.1
"SAVE","OAS",13,1,0.1
"SAVE","OAS",14,1,0.1
"SAVE","OAS",16,1,0.1
"SAVE","OAS",18,2,0.2
"SAVE","OAS",20,2,0.2
"SAVE","RIDGE",1,1,0.1
"SAVE","RIDGE",12,1,0.1
"SAVE","RIDGE",13,1,0.1
"SAVE","RIDGE",14,1,0.1
"SAVE","RIDGE",16,1,0.1
"SAVE","RIDGE",18,1,0.1
"SAVE","RIDGE",19,1,0.1
"SAVE","RIDGE",20,3,0.3
"SAVE","SAMPLE",1,1,0.1
"SAVE","SAMPLE",2,1,0.1
"SAVE","SAMPLE",5,2,0.2
"SAVE","SAMPLE",8,1,0.1
"SAVE","SAMPLE",9,2,0.2
"SAVE","SAMPLE",15,1,0.1
"SAVE","SAMPLE",20,2,0.2
"SIR","LW",12,1,0.1
"SIR","LW",15,1,0.1
"SIR","LW",19,1,0.1
"SIR","LW",20,7,0.7
"SIR","MEC",16,1,0.1
"SIR","MEC",18,1,0.1
"SIR","MEC",19,1,0.1
"SIR","MEC",20,7,0.7
"SIR","OAS",16,1,0.1
"SIR","OAS",17,1,0.1
"SIR","OAS",18,1,0.1
"SIR","OAS",20,7,0.7
"SIR","RIDGE",16,1,0.1
"SIR","RIDGE",18,1,0.1
"SIR","RIDGE",19,2,0.2
"SIR","RIDGE",20,6,0.6
"SIR","SAMPLE",9,1,0.1
"SIR","SAMPLE",14,1,0.1
"SIR","SAMPLE",19,3,0.3
"SIR","SAMPLE",20,5,0.5
