"n","p","rho","cov_method","n_success","mean_selected_d","median_selected_d","dimension_recovery_rate","mean_subspace_distance","sd_subspace_distance","mean_RMSE","sd_RMSE","mean_MAE","mean_R2","mean_Correlation","mean_condition_number","mean_effective_rank","mean_runtime_seconds"
100,50,0.5,"RIDGE",200,2,2,1,1.84,0.0677,2.3061,0.3213,1.7796,-0.3273,0.0216,26.65,50,0.0317
100,50,0.5,"LW",200,2,2,1,1.8403,0.0671,2.1363,0.2748,1.6297,-0.1839,-0.0118,5.845,50,0.037
100,50,0.5,"OAS",200,2,2,1,1.8444,0.0662,2.1457,0.3043,1.6377,-0.163,0.0035,5.792,50,0.0307
100,50,0.5,"SAMPLE",200,2,2,1,1.9045,0.0512,2.5048,0.3486,1.9441,-0.6423,0.0016,81.43,50,0.043
100,50,0.5,"MEC",200,2,2,1,1.9277,0.0497,2.2905,0.3226,1.7724,-0.3998,-0.0054,172,50,0.0423
100,100,0.5,"RIDGE",200,2,2,1,1.9106,0.0384,2.3869,0.3065,1.8636,-0.5176,0.0063,50.65,100,0.0919
100,100,0.5,"LW",200,2,2,1,1.9291,0.0364,2.1089,0.25,1.6172,-0.1363,-0.0073,4.505,100,0.1065
100,100,0.5,"OAS",200,2,2,1,1.9293,0.0335,2.0977,0.26,1.6043,-0.1341,-0.0058,4.445,100,0.0931
100,100,0.5,"MEC",200,2,2,1,1.9783,0.0159,4.0338,1.6622,3.1937,-3.9755,-0.0035,13540000,99.72,0.1416
100,100,0.5,"SAMPLE",200,2,2,1,1.9802,0.0124,5.8095,3.5989,4.6077,-11.0177,-0.0184,5560000,99.53,0.1666
100,200,0.5,"RIDGE",200,2,2,1,1.9637,0.0203,2.291,0.2762,1.7558,-0.3114,0.0066,68.95,200,0.4932
100,200,0.5,"LW",200,2,2,1,1.9647,0.0183,2.0707,0.2257,1.583,-0.1045,0.0015,3.501,200,1.2058
100,200,0.5,"OAS",200,2,2,1,1.9651,0.0178,2.114,0.236,1.6021,-0.101,-0.0093,3.413,200,0.5163
100,200,0.5,"MEC",200,2,2,1,1.9864,0.0088,2.1007,0.2198,1.5924,-0.1022,0.0017,21840000,154,0.7946
100,200,0.5,"SAMPLE",200,2,2,1,1.9865,0.0097,2.0964,0.2316,1.5997,-0.1143,-0.0106,7594000,149.44,0.6281
200,50,0.5,"LW",200,2,2,1,1.6531,0.0983,2.1729,0.231,1.6607,-0.2163,-0.0024,7.739,50,0.0454
200,50,0.5,"OAS",200,2,2,1,1.6645,0.1083,2.1836,0.2352,1.6631,-0.1936,0,7.74,50,0.0323
200,50,0.5,"RIDGE",200,2,2,1,1.6852,0.1036,2.2128,0.2288,1.6992,-0.2559,0.0114,15.7,50,0.0352
200,50,0.5,"SAMPLE",200,2,2,1,1.7849,0.088,2.2509,0.2327,1.7295,-0.2872,0.0031,28.15,50,0.0536
200,50,0.5,"MEC",200,2,2,1,1.8781,0.0889,2.2095,0.2451,1.6867,-0.2251,-0.0048,29.81,50,0.0444
200,100,0.5,"OAS",200,2,2,1,1.8394,0.0591,2.1411,0.2057,1.6414,-0.1947,-0.0097,6.309,100,0.0975
200,100,0.5,"LW",200,2,2,1,1.8417,0.0616,2.1547,0.1991,1.6457,-0.1618,0.0019,6.352,100,0.1972
200,100,0.5,"RIDGE",200,2,2,1,1.8471,0.0502,2.333,0.2071,1.8036,-0.39,0.0036,28.55,100,0.0974
200,100,0.5,"SAMPLE",200,2,2,1,1.9173,0.0397,2.5423,0.2476,1.9814,-0.6585,-0.0018,90.07,100,0.1468
200,100,0.5,"MEC",200,2,2,1,1.9463,0.0298,2.3365,0.2304,1.8074,-0.4046,0.0091,132.6,100,0.1447
200,200,0.5,"RIDGE",200,2,2,1,1.9196,0.0278,2.5113,0.1999,1.9397,-0.5603,-0.0077,52.8,200,0.518
200,200,0.5,"LW",200,2,2,1,1.9264,0.0267,2.1306,0.174,1.6275,-0.1412,-0.0027,4.748,200,1.315
200,200,0.5,"OAS",200,2,2,1,1.9314,0.0305,2.1018,0.1867,1.6061,-0.1206,0.0062,4.663,200,0.5142
200,200,0.5,"MEC",200,2,2,1,1.9894,0.0074,3.9699,1.1539,3.1494,-3.3485,0.0079,13880000,199.71,0.7768
200,200,0.5,"SAMPLE",200,2,2,1,1.9894,0.008,7.7995,5.9363,6.2102,-24.9035,0.0052,5743000,199.44,0.5741
100,50,0.8,"OAS",200,2,2,1,1.845,0.0626,2.2929,0.3823,1.7576,-0.3819,0.0078,51.59,50,0.0315
100,50,0.8,"LW",200,2,2,1,1.8456,0.0658,2.287,0.3997,1.7471,-0.359,0.0127,51.82,50,0.0982
100,50,0.8,"RIDGE",200,2,2,1,1.86,0.0615,2.3189,0.4259,1.7723,-0.4169,-0.0017,72.77,50,0.0339
100,50,0.8,"SAMPLE",200,2,2,1,1.9338,0.0418,2.5109,0.4755,1.934,-0.5971,0.0044,510.1,50,0.0477
100,50,0.8,"MEC",200,2,2,1,1.9475,0.0378,2.294,0.4121,1.7484,-0.3706,0.0022,3985,50,0.0465
100,100,0.8,"LW",200,2,2,1,1.9123,0.0379,2.3286,0.3363,1.7799,-0.3792,-0.0069,37.28,100,0.1285
100,100,0.8,"OAS",200,2,2,1,1.9136,0.0393,2.3189,0.3427,1.786,-0.3895,-3e-04,36.83,100,0.089
100,100,0.8,"RIDGE",200,2,2,1,1.9307,0.033,2.4753,0.3618,1.9097,-0.5452,0.0072,102,100,0.0925
100,100,0.8,"SAMPLE",200,2,2,1,1.9795,0.0145,6.419,5.9516,5.1269,-17.2014,0.0032,11280000,99.47,0.1372
100,100,0.8,"MEC",200,2,2,1,1.9798,0.0152,3.4442,1.1287,2.7248,-2.3828,0.0132,21520000,99.67,0.1402
100,200,0.8,"LW",200,2,2,1,1.9503,0.0212,2.3522,0.3106,1.8085,-0.4017,-0.006,24.46,200,0.599
100,200,0.8,"OAS",200,2,2,1,1.9519,0.0214,2.2669,0.2726,1.755,-0.3839,0.0074,24.11,200,0.5045
100,200,0.8,"RIDGE",200,2,2,1,1.9657,0.018,2.4686,0.3535,1.9124,-0.5766,-0.0092,126.7,200,0.4955
100,200,0.8,"SAMPLE",200,2,2,1,1.9884,0.0083,2.1332,0.2534,1.6241,-0.1423,0.0058,13880000,149.56,0.5091
100,200,0.8,"MEC",200,2,2,1,1.9889,0.0081,2.1337,0.2738,1.6277,-0.1394,-0.0079,30750000,154.1,0.8067
200,50,0.8,"RIDGE",200,2,2,1,1.758,0.0938,2.2769,0.3502,1.7458,-0.3301,0.0014,58.24,50,0.0333
200,50,0.8,"OAS",200,2,2,1,1.7754,0.0729,2.2759,0.3631,1.7381,-0.3163,6e-04,70.58,50,0.0317
200,50,0.8,"LW",200,2,2,1,1.7765,0.0823,2.2914,0.3746,1.7385,-0.3107,5e-04,71.06,50,0.0632
200,50,0.8,"SAMPLE",200,2,2,1,1.8861,0.0604,2.3133,0.3686,1.7498,-0.2984,0.0029,194.8,50,0.0536
200,50,0.8,"MEC",200,2,2,1,1.9485,0.0392,2.1624,0.3675,1.6299,-0.1512,-5e-04,370.7,50,0.0417
200,100,0.8,"OAS",200,2,2,1,1.8568,0.0501,2.3374,0.2664,1.7849,-0.3974,-0.0226,61.17,100,0.0979
200,100,0.8,"LW",200,2,2,1,1.859,0.0507,2.3129,0.2657,1.7797,-0.3717,-0.0123,60.68,100,0.1362
200,100,0.8,"RIDGE",200,2,2,1,1.874,0.049,2.335,0.2637,1.787,-0.3739,0.0015,80.27,100,0.0967
200,100,0.8,"SAMPLE",200,2,2,1,1.9536,0.0267,2.5745,0.3226,1.9881,-0.6337,-0.0014,579.5,100,0.129
200,100,0.8,"MEC",200,2,2,1,1.9695,0.0187,2.2092,0.2825,1.6893,-0.2691,0.0015,2798,100,0.1508
200,200,0.8,"LW",200,2,2,1,1.9209,0.0253,2.3728,0.2309,1.8291,-0.4113,-0.0086,41.65,200,0.6509
200,200,0.8,"OAS",200,2,2,1,1.9229,0.0252,2.3337,0.2277,1.7988,-0.4075,-0.0037,41.47,200,0.6024
200,200,0.8,"RIDGE",200,2,2,1,1.9395,0.0229,2.5101,0.2659,1.9355,-0.5636,-0.0036,108.3,200,0.5096
200,200,0.8,"MEC",200,2,2,1,1.989,0.0074,3.6755,0.998,2.9203,-2.7156,-0.0033,22960000,199.74,0.8668
200,200,0.8,"SAMPLE",200,2,2,1,1.9907,0.0065,6.5466,4.0024,5.218,-14.393,0.0014,11970000,199.43,0.531
100,50,0.95,"RIDGE",200,2,2,1,1.9141,0.0505,2.3782,0.6973,1.8155,-0.6314,-0.0018,219.8,50,0.0316
100,50,0.95,"LW",200,2,2,1,1.921,0.0436,2.4888,0.8362,1.8511,-0.5799,0.0129,523.7,50,0.0464
