"n","p","rho","sdr_method","n_success","mean_subspace_distance","sd_subspace_distance","mean_RMSE","sd_RMSE","mean_MAE","mean_R2","mean_Correlation","mean_condition_number","mean_effective_rank","mean_runtime_seconds"
100,50,0.5,"SIR",200,1.7998,0.063,2.3337,0.2996,1.798,-0.4149,0.0036,5.742,50,0.0312
100,50,0.5,"PHD",200,1.8074,0.0594,2.1039,0.2727,1.6024,-0.1367,0.0133,5.785,50,0.0363
100,50,0.5,"DR",200,1.8411,0.072,2.1358,0.2679,1.6287,-0.1677,0.0043,5.707,50,0.0478
100,50,0.5,"SAVE",200,1.9047,0.0622,2.0638,0.2504,1.5562,-0.0385,0.0014,5.678,50,0.0375
100,100,0.5,"SIR",200,1.8886,0.0392,2.3221,0.2426,1.7891,-0.3794,8e-04,4.449,100,0.054
100,100,0.5,"PHD",200,1.9105,0.0289,2.0809,0.2416,1.594,-0.1467,-0.002,4.348,100,0.0514
100,100,0.5,"DR",200,1.9284,0.0354,2.1246,0.2556,1.6047,-0.1337,0.0091,4.383,100,0.1479
100,100,0.5,"SAVE",200,1.9645,0.0277,2.0204,0.2271,1.5357,-0.0289,0.0056,4.411,100,0.0809
100,200,0.5,"SIR",200,1.9432,0.0219,2.2381,0.2197,1.725,-0.2845,0.0053,3.391,200,0.146
100,200,0.5,"PHD",200,1.9583,0.015,2.0835,0.2232,1.5908,-0.1153,-0.0087,3.377,200,0.1722
100,200,0.5,"DR",200,1.9658,0.0189,2.1083,0.2525,1.6009,-0.1016,-0.0061,3.402,200,0.6387
100,200,0.5,"SAVE",200,1.9896,0.0105,2.0299,0.2575,1.5208,-0.0244,-0.0013,3.399,200,0.3748
200,50,0.5,"DR",200,1.6532,0.0971,2.203,0.2528,1.6709,-0.2131,-0.0106,7.641,50,0.0585
200,50,0.5,"SIR",200,1.6996,0.0578,2.3321,0.2625,1.7905,-0.371,7e-04,7.705,50,0.0378
200,50,0.5,"PHD",200,1.7216,0.0644,2.0815,0.1907,1.5816,-0.0931,-0.0115,7.599,50,0.0358
200,50,0.5,"SAVE",200,1.7896,0.0854,2.025,0.2031,1.5254,-0.0314,-0.0042,7.723,50,0.0407
200,100,0.5,"SIR",200,1.814,0.0465,2.3451,0.2008,1.8095,-0.4057,-0.0119,6.32,100,0.0663
200,100,0.5,"DR",200,1.8407,0.061,2.136,0.1932,1.6306,-0.1698,0.0044,6.262,100,0.1359
200,100,0.5,"PHD",200,1.8494,0.0409,2.0935,0.1944,1.5847,-0.0844,-0.0088,6.286,100,0.0742
200,100,0.5,"SAVE",200,1.9168,0.0526,2.0105,0.1669,1.5154,-0.0181,0.0053,6.343,100,0.1086
200,200,0.5,"SIR",200,1.896,0.0295,2.3337,0.1942,1.7967,-0.36,-0.0025,4.664,200,0.1556
200,200,0.5,"DR",200,1.933,0.0283,2.1212,0.1751,1.6147,-0.1293,1e-04,4.699,200,0.625
200,200,0.5,"PHD",200,1.9351,0.0194,2.0858,0.1689,1.5811,-0.0898,-0.0022,4.702,200,0.2275
200,200,0.5,"SAVE",200,1.9786,0.0186,1.9967,0.1877,1.5056,-0.013,4e-04,4.687,200,0.4445
100,50,0.8,"DR",200,1.8516,0.0631,2.3207,0.3962,1.7675,-0.4052,0.0053,51.27,50,0.0435
100,50,0.8,"SIR",200,1.8695,0.0592,2.444,0.4249,1.8814,-0.5419,-0.0047,52.57,50,0.0249
100,50,0.8,"PHD",200,1.88,0.0521,2.1949,0.3675,1.6716,-0.2319,0.0022,51.97,50,0.0258
100,50,0.8,"SAVE",200,1.9049,0.0542,2.0925,0.3462,1.5754,-0.0661,0.0169,50.92,50,0.0293
100,100,0.8,"DR",200,1.9109,0.0379,2.3082,0.3262,1.7729,-0.3666,0.0193,37.33,100,0.1187
100,100,0.8,"SIR",200,1.923,0.0364,2.511,0.3443,1.9367,-0.5752,-0.0045,37.08,100,0.0425
100,100,0.8,"PHD",200,1.9356,0.027,2.1536,0.2995,1.645,-0.2095,0.0016,36.89,100,0.0571
100,100,0.8,"SAVE",200,1.9548,0.0302,1.997,0.2951,1.5176,-0.0536,-0.0019,36.93,100,0.1059
100,200,0.8,"DR",200,1.9539,0.0189,2.3077,0.3119,1.7909,-0.3938,-0.0049,24.31,200,0.5827
100,200,0.8,"SIR",200,1.9565,0.0205,2.4312,0.2982,1.8911,-0.5539,0.0016,24.41,200,0.1349
100,200,0.8,"PHD",200,1.9684,0.0136,2.1608,0.2866,1.6599,-0.2003,0.0161,24.04,200,0.185
100,200,0.8,"SAVE",200,1.9828,0.0161,2.0006,0.2363,1.5217,-0.0395,-0.013,24.39,200,0.4176
200,50,0.8,"DR",200,1.7797,0.084,2.3066,0.3576,1.749,-0.2893,-0.0015,70.51,50,0.0425
200,50,0.8,"SIR",200,1.8128,0.0674,2.4093,0.3847,1.8306,-0.4508,0.0058,70,50,0.0301
200,50,0.8,"PHD",200,1.8299,0.0669,2.1237,0.3453,1.5949,-0.1269,-0.0016,70.13,50,0.0355
200,50,0.8,"SAVE",200,1.8522,0.0636,2.0936,0.4041,1.5624,-0.0705,-0.0039,70.96,50,0.0378
200,100,0.8,"DR",200,1.8647,0.0468,2.3136,0.2801,1.7771,-0.375,0.0054,60.86,100,0.114
200,100,0.8,"SIR",200,1.8875,0.0403,2.4343,0.263,1.8819,-0.5532,-0.0011,60.4,100,0.05
200,100,0.8,"PHD",200,1.9153,0.0349,2.1375,0.2523,1.6148,-0.1267,-0.0036,60.9,100,0.0786
200,100,0.8,"SAVE",200,1.9206,0.0406,2.0467,0.242,1.5375,-0.0344,0.0043,60.55,100,0.0893
200,200,0.8,"DR",200,1.919,0.0247,2.3447,0.2322,1.8087,-0.3897,0.0109,41.48,200,0.6644
200,200,0.8,"SIR",200,1.9292,0.0232,2.4692,0.2382,1.9166,-0.5507,0.0123,41.33,200,0.1692
200,200,0.8,"PHD",200,1.9605,0.0177,2.1054,0.2092,1.593,-0.1108,-0.0024,41.31,200,0.205
200,200,0.8,"SAVE",200,1.9639,0.0252,2.0074,0.2113,1.5241,-0.0288,0.0053,41.49,200,0.4132
100,50,0.95,"DR",200,1.9243,0.0418,2.4654,0.7517,1.8576,-0.5318,-0.0143,512.5,50,0.0365
100,50,0.95,"SIR",200,1.9273,0.0408,2.6258,0.7447,1.9696,-0.7315,0.0136,513.5,50,0.0361
100,50,0.95,"PHD",200,1.9368,0.039,2.2806,0.6821,1.7189,-0.3985,0.0094,518.3,50,0.0287
100,50,0.95,"SAVE",200,1.9398,0.0402,2.2703,0.6918,1.6677,-0.2025,-0.0054,512.7,50,0.0297
100,100,0.95,"DR",200,1.9545,0.0249,2.4848,0.562,1.8823,-0.6124,0.009,459.3,100,0.1113
100,100,0.95,"SIR",200,1.9582,0.0247,2.6397,0.5815,2.0125,-0.7663,0.0022,460.9,100,0.0566
100,100,0.95,"SAVE",200,1.9676,0.0208,2.2166,0.5686,1.6428,-0.1702,8e-04,456.8,100,0.0856
100,100,0.95,"PHD",200,1.9703,0.0179,2.2989,0.5701,1.7288,-0.3048,0.0201,459.1,100,0.0486
100,200,0.95,"DR",200,1.974,0.0148,2.5276,0.4544,1.9353,-0.6116,0.0024,312.7,200,0.6435
100,200,0.95,"SIR",200,1.9795,0.0132,2.6551,0.417,2.0408,-0.7642,-0.0225,314,200,0.1373
100,200,0.95,"SAVE",200,1.9822,0.0136,2.1109,0.4136,1.5863,-0.1066,-0.0188,309.8,200,0.3809
100,200,0.95,"PHD",200,1.9834,0.0117,2.261,0.4084,1.7271,-0.3154,0.0111,308.8,200,0.1628
200,50,0.95,"DR",200,1.9108,0.0553,2.5214,0.8105,1.8616,-0.4971,0.0021,761.6,50,0.0384
200,50,0.95,"SIR",200,1.911,0.0501,2.5514,0.7385,1.9177,-0.6644,7e-04,770.7,50,0.0434
200,50,0.95,"PHD",200,1.9173,0.0462,2.3317,0.7339,1.7207,-0.3354,0.0364,773.2,50,0.0312
200,50,0.95,"SAVE",200,1.9297,0.0464,2.2071,0.699,1.6319,-0.2035,-0.0017,762.8,50,0.0323
200,100,0.95,"DR",200,1.9459,0.0283,2.424,0.4931,1.8395,-0.4441,0.0123,830,100,0.1149
200,100,0.95,"SIR",200,1.9523,0.0252,2.5618,0.5263,1.9322,-0.6224,0.0034,830.2,100,0.0666
200,100,0.95,"SAVE",200,1.9625,0.0247,2.1603,0.5356,1.6026,-0.148,-0.0136,819.4,100,0.091
200,100,0.95,"PHD",200,1.9637,0.0217,2.2308,0.5114,1.6673,-0.2248,0.0071,832.9,100,0.0572
200,200,0.95,"DR",200,1.9675,0.0171,2.4237,0.3534,1.8645,-0.5775,0.0109,610.4,200,0.7134
200,200,0.95,"SIR",200,1.9724,0.015,2.5567,0.4072,1.9638,-0.6692,0.0132,599.8,200,0.1679
200,200,0.95,"SAVE",200,1.9769,0.0133,2.064,0.326,1.5563,-0.0775,-0.0091,615,200,0.411
200,200,0.95,"PHD",200,1.982,0.0117,2.2174,0.4006,1.6665,-0.2061,-5e-04,612,200,0.2244
