"n","p","rho","sdr_method","n_success","mean_selected_d","median_selected_d","dimension_recovery_rate","sd_selected_d","mean_condition_number","mean_effective_rank","mean_runtime_seconds"
100,50,0.5,"SIR",200,1.95,2,0.28,1.06,5.817,50,0.0315
100,50,0.8,"DR",200,1.86,2,0.36,0.986,51.1,50,0.0924
100,50,0.95,"DR",200,1.83,2,0.27,1.013,512,50,0.089
100,100,0.5,"DR",200,1.87,1.5,0.275,1.104,4.402,100,0.2599
100,100,0.8,"DR",200,2.11,2,0.275,1.215,37.37,100,0.2365
100,100,0.95,"DR",200,1.82,2,0.295,1.005,449.2,100,0.1753
100,200,0.5,"PHD",200,2.12,2,0.255,1.295,3.39,200,0.1576
100,200,0.8,"DR",200,2.69,3,0.23,1.27,24.25,200,0.9607
100,200,0.95,"DR",200,2.79,3,0.245,1.321,311.8,200,0.6822
200,50,0.5,"DR",200,2.28,2,0.385,1.169,7.714,50,0.1034
200,50,0.8,"DR",200,2.1,2,0.505,0.98,70.71,50,0.0907
200,50,0.95,"DR",200,1.9,2,0.325,1.027,771.6,50,0.0877
200,100,0.5,"DR",200,2.38,2,0.245,1.247,6.266,100,0.2615
200,100,0.8,"DR",200,2.08,2,0.265,1.172,60.77,100,0.2813
200,100,0.95,"DR",200,1.94,2,0.3,1.103,825.7,100,0.117
200,200,0.5,"DR",200,2.38,2,0.295,1.347,4.666,200,1.4258
200,200,0.8,"DR",200,2.18,2,0.275,1.272,41.43,200,1.4182
200,200,0.95,"DR",200,2.21,2,0.225,1.27,601.7,200,0.6808
