"n","p","rho","sdr_method","n_success","mean_selected_d","median_selected_d","dimension_recovery_rate","sd_selected_d","mean_condition_number","mean_effective_rank","mean_runtime_seconds"
100,50,0.5,"SIR",200,1.95,2,0.28,1.06,5.817,50,0.0315
100,50,0.5,"DR",200,2.01,2,0.225,1.182,5.745,50,0.0812
100,50,0.5,"PHD",200,2.02,1.5,0.195,1.242,5.706,50,0.0368
100,50,0.5,"SAVE",200,1,1,0,0,5.723,50,0.0296
100,100,0.5,"DR",200,1.87,1.5,0.275,1.104,4.402,100,0.2599
100,100,0.5,"PHD",200,2.02,2,0.24,1.165,4.426,100,0.0492
100,100,0.5,"SIR",200,3.21,3,0.17,1.348,4.394,100,0.0557
100,100,0.5,"SAVE",200,1,1,0,0,4.414,100,0.0736
100,200,0.5,"PHD",200,2.12,2,0.255,1.295,3.39,200,0.1576
100,200,0.5,"DR",200,2.21,2,0.24,1.231,3.414,200,1.3191
100,200,0.5,"SIR",200,4.08,4,0.075,1.147,3.422,200,0.1424
100,200,0.5,"SAVE",200,1,1,0.005,0.071,3.387,200,0.3534
200,50,0.5,"DR",200,2.28,2,0.385,1.169,7.714,50,0.1034
200,50,0.5,"SIR",200,1.43,1,0.22,0.747,7.657,50,0.0402
200,50,0.5,"PHD",200,2.12,2,0.2,1.34,7.654,50,0.0298
200,50,0.5,"SAVE",200,1.01,1,0.01,0.1,7.638,50,0.0341
200,100,0.5,"DR",200,2.38,2,0.245,1.247,6.266,100,0.2615
200,100,0.5,"SIR",200,2.35,2,0.215,1.392,6.297,100,0.0501
200,100,0.5,"PHD",200,2.12,2,0.185,1.298,6.254,100,0.0642
200,100,0.5,"SAVE",200,1,1,0.005,0.071,6.312,100,0.0769
200,200,0.5,"DR",200,2.38,2,0.295,1.347,4.666,200,1.4258
200,200,0.5,"PHD",200,2.3,2,0.2,1.378,4.692,200,0.2182
200,200,0.5,"SIR",200,3.6,4,0.12,1.414,4.68,200,0.1561
200,200,0.5,"SAVE",200,1,1,0,0,4.672,200,0.399
100,50,0.8,"DR",200,1.86,2,0.36,0.986,51.1,50,0.0924
100,50,0.8,"SIR",200,2,2,0.225,1.169,51.47,50,0.0261
100,50,0.8,"PHD",200,1.99,1.5,0.21,1.217,52.02,50,0.0276
100,50,0.8,"SAVE",200,1,1,0,0,51.66,50,0.0307
100,100,0.8,"DR",200,2.11,2,0.275,1.215,37.37,100,0.2365
100,100,0.8,"PHD",200,2.19,2,0.255,1.275,36.69,100,0.0527
100,100,0.8,"SIR",200,3.17,3,0.18,1.457,36.76,100,0.0602
100,100,0.8,"SAVE",200,1,1,0.005,0.071,37.14,100,0.0753
100,200,0.8,"DR",200,2.69,3,0.23,1.27,24.25,200,0.9607
100,200,0.8,"PHD",200,2.49,2,0.22,1.334,24.12,200,0.1602
100,200,0.8,"SIR",200,4.1,5,0.06,1.186,24.29,200,0.1984
100,200,0.8,"SAVE",200,1,1,0,0,24.42,200,0.3818
200,50,0.8,"DR",200,2.1,2,0.505,0.98,70.71,50,0.0907
200,50,0.8,"SIR",200,1.46,1,0.235,0.769,70.64,50,0.0302
200,50,0.8,"PHD",200,2.34,2,0.19,1.409,70.97,50,0.0291
200,50,0.8,"SAVE",200,1,1,0,0,71.08,50,0.0403
200,100,0.8,"DR",200,2.08,2,0.265,1.172,60.77,100,0.2813
200,100,0.8,"SIR",200,2.46,2,0.185,1.389,60.45,100,0.0652
200,100,0.8,"PHD",200,2.42,2,0.17,1.464,60.25,100,0.0662
200,100,0.8,"SAVE",200,1,1,0,0,60.28,100,0.105
200,200,0.8,"DR",200,2.18,2,0.275,1.272,41.43,200,1.4182
200,200,0.8,"PHD",200,2.62,2,0.165,1.509,41.36,200,0.2199
200,200,0.8,"SIR",200,3.5,4,0.115,1.364,41.05,200,0.1599
200,200,0.8,"SAVE",200,1,1,0,0,41.45,200,0.3985
100,50,0.95,"DR",200,1.83,2,0.27,1.013,512,50,0.089
100,50,0.95,"SIR",200,1.9,1,0.19,1.234,513.5,50,0.0243
100,50,0.95,"PHD",200,2.13,2,0.185,1.336,512.3,50,0.0262
100,50,0.95,"SAVE",200,1,1,0.005,0.071,518.1,50,0.0371
100,100,0.95,"DR",200,1.82,2,0.295,1.005,449.2,100,0.1753
100,100,0.95,"PHD",200,2.21,2,0.24,1.318,451.2,100,0.0715
100,100,0.95,"SIR",200,2.94,3,0.195,1.496,450.9,100,0.0424
100,100,0.95,"SAVE",200,1,1,0,0,460,100,0.0759
100,200,0.95,"DR",200,2.79,3,0.245,1.321,311.8,200,0.6822
100,200,0.95,"PHD",200,2.56,2,0.215,1.351,311.5,200,0.1633
100,200,0.95,"SIR",200,3.86,4,0.095,1.25,312.3,200,0.1346
100,200,0.95,"SAVE",200,1,1,0,0,313.9,200,0.3958
200,50,0.95,"DR",200,1.9,2,0.325,1.027,771.6,50,0.0877
200,50,0.95,"PHD",200,2.06,1.5,0.195,1.33,777.1,50,0.0553
200,50,0.95,"SIR",200,1.48,1,0.145,0.902,772.5,50,0.0286
200,50,0.95,"SAVE",200,1.03,1,0.03,0.171,765.7,50,0.0323
200,100,0.95,"DR",200,1.94,2,0.3,1.103,825.7,100,0.117
200,100,0.95,"PHD",200,2.46,2,0.195,1.407,822.5,100,0.0962
200,100,0.95,"SIR",200,2.19,2,0.185,1.358,831.8,100,0.0444
200,100,0.95,"SAVE",200,1,1,0.005,0.071,824.2,100,0.0786
200,200,0.95,"DR",200,2.21,2,0.225,1.27,601.7,200,0.6808
200,200,0.95,"PHD",200,2.63,2,0.22,1.508,604.6,200,0.2652
200,200,0.95,"SIR",200,3.28,4,0.13,1.523,601.8,200,0.1521
200,200,0.95,"SAVE",200,1.01,1,0.01,0.1,612.3,200,0.4129
